公司名称,股票代码,处罚年份,舞弊类型,公告日期,公告年份
福建三木集团股份有限公司,632,2008,虚假记载(误导性陈述),2023/12/31,2023
福建三木集团股份有限公司,632,2009,虚假记载(误导性陈述),2023/12/31,2023
新疆万源汇金投资控股有限公司,600145,2010,重大遗漏、其他,2022/4/27,2022
新疆亿路万源实业控股股份有限公司,600145,2010,重大遗漏、其他,2022/4/27,2022
江苏舜天股份有限公司,600287,2010,虚构利润、虚假记载(误导性陈述)、其他,2023/7/3,2023
深圳市易楚投资管理有限公司,600145,2010,重大遗漏、其他,2022/4/27,2022
福建三木集团股份有限公司,632,2010,虚假记载(误导性陈述),2023/12/31,2023
北京信威科技集团股份有限公司,600485,2011,虚构利润、其他,2024/3/12,2024
新疆万源汇金投资控股有限公司,600145,2011,重大遗漏、其他,2022/4/27,2022
新疆亿路万源实业控股股份有限公司,600145,2011,重大遗漏、其他,2022/4/27,2022
江苏舜天股份有限公司,600287,2011,虚构利润、虚假记载(误导性陈述)、其他,2023/7/3,2023
深圳市易楚投资管理有限公司,600145,2011,重大遗漏、其他,2022/4/27,2022
福建三木集团股份有限公司,632,2011,虚假记载(误导性陈述),2023/12/31,2023
北京信威科技集团股份有限公司,600485,2012,虚构利润、其他,2024/3/12,2024
山东英达钢结构有限公司,760,2012,虚假记载(误导性陈述),2021/7/16,2021
常州誉华企业管理有限公司,760,2012,虚假记载(误导性陈述),2021/7/16,2021
广东柏堡龙股份有限公司,2776,2012,虚列资产、虚假记载(误导性陈述)、其他; 虚构利润、虚列资产、虚假记载(误导性陈述)、其他; 虚构利润、虚列资产、虚假记载(误导性陈述)、其他; 虚构利润、虚列资产、虚假记载(误导性陈述)、其他; 虚构利润、虚列资产、虚假记载(误导性陈述)、其他; 虚构利润、其他; 虚构利润、虚列资产、虚假记载(误导性陈述)、推迟披露、违规担保、其他; 虚列资产、虚假记载(误导性陈述)、推迟披露、违规担保、其他; 虚假记载(误导性陈述)、推迟披露、擅自改变资金用途、违规担保、其他; 虚假记载(误导性陈述)、推迟披露、其他; 擅自改变资金用途、其他,2022/7/27,2022
斯太尔动力股份有限公司,760,2012,虚假记载(误导性陈述),2021/7/16,2021
新疆万源汇金投资控股有限公司,600145,2012,重大遗漏、其他,2022/4/27,2022
